tradeIndex,type,message
240,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=482, OUT=483"
241,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=484, OUT=485"
241,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
242,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=486, OUT=487"
242,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
243,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=488, OUT=489"
243,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
244,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=490, OUT=491"
245,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=492, OUT=493"
245,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
246,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=494, OUT=495"
247,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=496, OUT=497"
247,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
248,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=498, OUT=499"
249,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=500, OUT=501"
249,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
250,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=502, OUT=503"
251,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=504, OUT=505"
251,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
252,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=506, OUT=507"
252,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
253,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=508, OUT=509"
254,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=510, OUT=511"
255,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=512, OUT=513"
255,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
256,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=514, OUT=515"
257,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=516, OUT=517"
258,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=518, OUT=519"
258,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
259,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=520, OUT=521"
259,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
260,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=522, OUT=523"
261,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=524, OUT=525"
261,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
262,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=526, OUT=527"
263,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=528, OUT=529"
263,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
264,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=530, OUT=531"
