dataset,symbol,version,timeframe,signal_metric,outcome_metric,correlation,p_value,n_samples,significant
NAS100_v3.0_1H,NAS100,v3.0,1H,Jerk,Profit,0.03188196967504387,0.5151604215616812,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Jerk,ProfitPercent,0.030846821452708433,0.5289024979133858,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Jerk,IsWin,-0.0018156452994365034,0.9704416821604948,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Jerk,RRatio,0.030846821452708433,0.5289024979133858,419,False
NAS100_v3.0_1H,NAS100,v3.0,1H,Jerk,Pips,0.031815370243026976,0.5160389658636627,419,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Quality,Profit,0.07747868054823205,0.1352840132551402,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Quality,ProfitPercent,0.08171990727454011,0.11511512443117385,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Quality,IsWin,0.11713197226298308,0.023673051253618183,373,True
NAS100_v3.2_05M,NAS100,v3.2,05M,Quality,RRatio,0.08171990727454011,0.11511512443117385,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Quality,Pips,0.08191207191289195,0.11426036449563239,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Confluence,Profit,-0.03119188610284839,0.5481466856146664,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Confluence,ProfitPercent,-0.02884529620967367,0.578661475507796,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Confluence,IsWin,-0.06739623058327818,0.19403121033332024,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Confluence,RRatio,-0.02884529620967367,0.578661475507796,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Confluence,Pips,-0.027489973201580534,0.5966406176487898,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Momentum,Profit,-0.0056243483471493955,0.9137890702967068,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Momentum,ProfitPercent,-0.0070000670045196715,0.892816151018901,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Momentum,IsWin,-0.060131276831348536,0.24666880975850003,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Momentum,RRatio,-0.0070000670045196715,0.892816151018901,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Momentum,Pips,-0.005417306836699612,0.9169509782899938,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Speed,Profit,0.009715293048045718,0.8516542680152469,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Speed,ProfitPercent,0.014880004636196712,0.7745473278789782,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Speed,IsWin,-0.02657214629533071,0.6089581110383263,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Speed,RRatio,0.014880004636196712,0.7745473278789782,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Speed,Pips,0.016167865756080715,0.7556290812972001,373,False
NAS100_v3.2_05M,NAS100,v3.2,05M,Acceleration,Profit,-0.008661233688425163,0.8675920277252395,373,False
