EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,PhysicsScore,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,4.13_PRODUCTION,2025.09.23 23:05,NAS100,1,BUY,91.66666666666667,100.0,577.5021927535314,6375.914143993028,368.4225035736199,0.0,-291.4571083315394,84.16666666666667,BULL,NORMAL,24634.1,35.0,0.0,0.0,997.69,999.27,1,PASS,PASS,23,2
TP_Integrated_EA,4.13_PRODUCTION,2025.09.24 02:55,NAS100,-1,SELL,86.33333333333334,80.0,-125.88529845564952,-2404.6202261086873,-554.6597361611392,0.0,-25.747391877783926,23.80227894249954,BEAR,LOW,24631.5,44.00000000001455,0.0,0.0,999.27,999.16,1,PASS,PASS,2,3
TP_Integrated_EA,4.13_PRODUCTION,2025.09.24 05:55,NAS100,1,BUY,89.0,100.0,156.3300827166869,3731.3758549878494,553.4484348945596,0.0,-110.69355751308362,83.9,BULL,NORMAL,24624.2,45.0,0.0,0.0,999.16,999.2,1,PASS,PASS,5,3
TP_Integrated_EA,4.13_PRODUCTION,2025.09.24 14:00,NAS100,1,BUY,86.33333333333333,100.0,76.65623036127238,1921.4601673261782,1850.6382906584718,0.0,95.98749765687643,96.5816129346945,BULL,NORMAL,24691.7,40.0,0.0,0.0,999.2,999.83,1,PASS,PASS,14,3
TP_Integrated_EA,4.13_PRODUCTION,2025.09.24 16:35,NAS100,-1,SELL,86.33333333333334,80.0,-248.42249534627595,-6269.461063378596,-3715.533895747296,0.0,-630.5825104030401,18.233333333333334,BEAR,NORMAL,24630.7,35.0,0.0,0.0,999.2,999.22,1,PASS,PASS,16,3
TP_Integrated_EA,4.13_PRODUCTION,2025.09.24 20:35,NAS100,1,BUY,86.33333333333334,100.0,662.2530472332465,7873.246668806329,409.04294779207555,0.0,-389.45887747706263,83.63333333333334,BULL,NORMAL,24539.1,35.0,0.0,0.0,999.22,1000.1,1,PASS,PASS,20,3
TP_Integrated_EA,4.13_PRODUCTION,2025.09.25 06:45,NAS100,1,BUY,86.33333333333334,100.0,46.407079950864215,346.3471728144177,142.71957602750197,0.0,16.09554472575269,84.02499838614226,BULL,NORMAL,24577.9,43.99999999997817,0.0,0.0,1000.1,1000.42,1,PASS,PASS,6,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.25 07:50,NAS100,-1,SELL,91.66666666666667,80.0,-78.89186691310886,-4861.810168818186,-663.6296442353205,0.0,-168.12933585056734,20.349776648183504,BEAR,NORMAL,24559.1,44.00000000001455,0.0,0.0,1000.1,1000.23,1,PASS,PASS,7,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.25 21:25,NAS100,1,BUY,86.33333333333334,80.0,98.20791542137044,3666.284792877027,12589.23534502679,0.0,2476.0420870156026,96.09892698993612,BULL,NORMAL,24363.7,35.0,0.0,0.0,1000.23,1002.15,1,PASS,PASS,21,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.25 21:45,NAS100,1,BUY,91.66666666666667,100.0,823.2058845276806,12011.317410930898,684.5748663507948,0.0,-1116.4816918155595,84.16666666666667,BULL,NORMAL,24415.6,35.0,0.0,0.0,1002.15,1002.64,1,PASS,PASS,21,4
TP_Integrated_EA,4.13_PRODUCTION,2025.09.26 01:10,NAS100,1,BUY,86.33333333333334,100.0,378.3334812512346,5280.707376665328,1642.8443954035827,0.0,348.42151679345164,98.63333333333334,BULL,LOW,24458.4,45.0,0.0,0.0,1002.15,1003.03,1,PASS,PASS,1,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.26 01:40,NAS100,1,BUY,86.33333333333333,100.0,264.56068355409855,3034.5040323489525,695.7516785659004,0.0,371.09270876291276,98.63333333333333,BULL,LOW,24455.8,45.0,0.0,0.0,1002.15,1003.01,1,PASS,PASS,1,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.26 08:55,NAS100,1,BUY,91.66666666666667,100.0,214.45913458950972,5362.600709804355,804.1289592198973,0.0,10.787509607680818,92.47572988724274,BULL,NORMAL,24410.5,40.0,0.0,0.0,1002.15,1002.55,1,PASS,PASS,8,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.26 09:05,NAS100,1,BUY,94.33333333333334,100.0,238.83739315089423,6446.716598135058,685.156328541287,0.0,-52.47201703468307,87.99793205573211,BULL,NORMAL,24420.1,40.0,0.0,0.0,1002.15,1002.65,1,PASS,PASS,9,5
TP_Integrated_EA,4.13_PRODUCTION,2025.09.26 16:40,NAS100,1,BUY,86.33333333333334,100.0,327.9193929830535,759.3671826034199,1956.263229902082,0.0,542.4786942099896,98.63333333333334,BULL,HIGH,24488.1,35.0,0.0,0.0,1002.15,1003.33,1,PASS,PASS,16,5
